dataset,method,model,test_metric
hospitals,holistic,svm,0.975
hospitals,holistic,knn,0.805
hospitals,holistic,dt,0.99
hospitals,holistic,gb,0.99
hospitals,holoclean,rf,1.0
hospitals,holoclean,lr,0.975
hospitals,holoclean,svm,0.965
hospitals,holoclean,knn,0.79
hospitals,holoclean,dt,0.95
hospitals,holoclean,gb,1.0
hospitals,horizon,rf,0.99
hospitals,horizon,lr,0.965
hospitals,horizon,svm,0.975
hospitals,horizon,knn,0.79
hospitals,horizon,dt,0.99
hospitals,horizon,gb,0.99
hospitals,uniclean,rf,0.985
hospitals,uniclean,lr,0.975
hospitals,uniclean,svm,0.97
hospitals,uniclean,knn,0.79
hospitals,uniclean,dt,0.99
hospitals,uniclean,gb,0.99
hospitals,LLM,rf,0.995
hospitals,LLM,lr,0.975
hospitals,LLM,svm,0.97
hospitals,LLM,knn,0.815
hospitals,LLM,dt,1.0
hospitals,LLM,gb,1.0
hospitals,DemandClean,rf,1.0
hospitals,DemandClean,lr,0.98
