index,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time,arrival_delay_bucket
32,aa,AA-1522-SFO-ORD,11:55 PM,11:55 PM,05:50 AM,05:50 AM,on_time
33,aa,AA-3823-LAX-DEN,09:00 PM,09:00 PM,12:15 AM,12:15 AM,on_time
34,aa,AA-2312-DFW-DTW,08:25 PM,08:25 PM,11:50 PM,11:50 PM,on_time
35,aa,AA-1165-JFK-MIA,06:59 AM,07:22 AM,10:34 AM,10:04 AM,early
36,aa,AA-431-MIA-SFO,08:35 AM,08:51 AM,11:50 AM,11:44 AM,early
37,aa,AA-649-ORD-SNA,01:30 PM,01:30 PM,03:50 PM,03:50 PM,on_time
38,aa,AA-3063-SLC-LAX,08:20 PM,08:39 PM,09:20 PM,09:20 PM,on_time
39,aa,AA-3804-PHL-ORD,02:35 PM,02:44 PM,04:05 PM,03:43 PM,early
40,aa,AA-1917-JFK-MCO,02:55 PM,03:27 PM,05:55 PM,05:43 PM,early
41,aa,AA-2268-PHX-ORD,07:15 AM,07:22 AM,11:35 AM,11:06 AM,early
42,aa,AA-4277-CVG-JFK,12:10 PM,12:10 PM,02:15 PM,01:43 PM,early
43,aa,AA-789-ORD-DEN,01:05 PM,01:19 PM,02:35 PM,03:13 PM,late
44,aa,AA-415-BOS-ORD,08:35 AM,08:56 AM,10:40 AM,10:16 AM,early
45,aa,AA-85-JFK-SFO,03:05 PM,03:36 PM,06:30 PM,06:43 PM,on_time
46,aa,AA-1544-SAN-ORD,11:25 AM,11:40 AM,05:25 PM,04:56 PM,early
47,aa,AA-3786-IAH-ORD,04:00 PM,04:12 PM,06:40 PM,06:15 PM,early
48,aa,AA-222-LAX-BOS,07:10 AM,07:31 AM,03:30 PM,03:14 PM,early
49,aa,AA-3809-PHX-LAX,06:00 AM,06:10 AM,06:40 AM,06:19 AM,early
50,aa,AA-59-JFK-SFO,07:10 AM,07:39 AM,10:45 AM,11:12 AM,late
51,helloflight,AA-3859-IAH-ORD,07:16 AM,07:16 AM,09:22 AM,09:22 AM,early
52,helloflight,CO-1586-IAH-MCO,07:00 PM,07:00 PM,10:15 PM,10:15 PM,on_time
53,helloflight,AA-518-MIA-JFK,06:54 AM,06:54 AM,09:14 AM,09:14 AM,on_time
54,helloflight,UA-397-JFK-SFO,08:48 AM,08:48 AM,11:30 AM,11:30 AM,on_time
55,helloflight,UA-3925-IAD-ORF,09:00 AM,09:00 AM,09:29 AM,09:29 AM,early
56,helloflight,AA-1733-ORD-PHX,07:59 PM,07:59 PM,10:31 PM,10:31 PM,on_time
57,helloflight,UA-2830-MCO-CLT,03:50 PM,03:50 PM,05:14 PM,05:14 PM,on_time
58,helloflight,CO-58-DEN-IAH,11:25 AM,11:25 AM,02:50 PM,02:50 PM,late
59,helloflight,AA-1544-SAN-ORD,11:41 AM,11:41 AM,04:54 PM,04:54 PM,early
60,helloflight,UA-5487-SFO-MRY,10:53 AM,10:53 AM,11:11 AM,11:11 AM,on_time
61,helloflight,AA-204-LAX-MCO,11:29 PM,11:29 PM,06:35 AM,06:35 AM,on_time
62,helloflight,UA-414-LAX-SFO,06:10 AM,06:10 AM,07:04 AM,07:04 AM,early
63,helloflight,CO-1614-LAX-IAH,12:30 AM,12:30 AM,05:35 AM,05:35 AM,early
64,helloflight,UA-2726-FLL-PHL,04:10 PM,04:10 PM,06:25 PM,06:25 PM,early
65,helloflight,CO-52-IAH-LAX,07:35 AM,07:35 AM,09:21 AM,09:21 AM,early
66,helloflight,CO-1090-BOS-IAH,09:45 AM,09:45 AM,01:16 PM,01:16 PM,on_time
67,helloflight,AA-616-DFW-DTW,10:11 AM,10:11 AM,01:11 PM,01:11 PM,late
68,helloflight,UA-3515-IAD-MSP,08:26 AM,08:26 AM,09:56 AM,09:56 AM,early
69,helloflight,AA-3468-CVG-MIA,07:25 AM,07:25 AM,09:29 AM,09:29 AM,early
70,helloflight,AA-484-DFW-MIA,04:29 PM,04:29 PM,07:37 PM,07:37 PM,early
71,helloflight,AA-1886-BOS-MIA,10:54 AM,10:54 AM,01:36 PM,01:36 PM,early
72,helloflight,CO-62-IAH-EWR,02:30 PM,02:30 PM,07:03 PM,07:03 PM,on_time
73,helloflight,CO-1561-PHX-IAH,08:05 AM,08:05 AM,11:35 AM,11:35 AM,on_time
74,helloflight,UA-2314-ATL-PHL,03:04 PM,03:04 PM,04:43 PM,04:43 PM,early
75,helloflight,AA-446-DFW-PHL,12:13 PM,12:13 PM,04:08 PM,04:08 PM,late
76,helloflight,CO-1023-IAH-DEN,11:40 AM,11:40 AM,01:17 PM,01:17 PM,on_time
77,helloflight,AA-466-IAH-MIA,06:09 AM,06:09 AM,08:50 AM,08:50 AM,early
78,helloflight,UA-3050-PHX-CLT,11:45 AM,11:45 AM,05:00 PM,05:00 PM,on_time
79,helloflight,CO-89-IAH-EWR,06:00 AM,06:00 AM,10:20 AM,10:20 AM,on_time
80,helloflight,CO-1088-CLE-IAH,08:40 AM,08:40 AM,10:54 AM,10:54 AM,on_time
81,helloflight,AA-1664-MIA-ATL,10:19 AM,10:19 AM,11:50 AM,11:50 AM,early
82,helloflight,AA-1279-DFW-PHX,02:03 PM,02:03 PM,03:13 PM,03:13 PM,late
83,helloflight,UA-854-SFO-IAH,08:07 AM,08:07 AM,01:23 PM,01:23 PM,early
84,helloflight,UA-382-IAD-LAX,12:56 PM,12:56 PM,03:09 PM,03:09 PM,on_time
85,helloflight,AA-4344-ORD-DTW,12:14 PM,12:14 PM,01:55 PM,01:55 PM,on_time
86,helloflight,UA-257-JFK-SFO,02:43 PM,02:43 PM,05:22 PM,05:22 PM,early
87,helloflight,UA-2945-PHL-CLT,12:07 PM,12:07 PM,01:11 PM,01:11 PM,early
88,helloflight,CO-63-EWR-IAH,05:25 PM,05:25 PM,08:22 PM,08:22 PM,early
89,helloflight,CO-47-IAH-LAX,07:10 PM,07:10 PM,08:56 PM,08:56 PM,late
90,helloflight,AA-2050-ORD-MIA,11:06 AM,11:06 AM,02:39 PM,02:39 PM,on_time
91,helloflight,UA-248-PHX-ORD,01:43 PM,01:43 PM,05:24 PM,05:24 PM,late
92,helloflight,AA-4330-CVG-ORD,03:35 PM,03:35 PM,04:00 PM,04:00 PM,early
93,helloflight,AA-1434-DFW-MCO,07:22 AM,07:22 AM,10:34 AM,10:34 AM,on_time
94,helloflight,AA-1640-MIA-MCO,06:47 PM,06:47 PM,07:25 PM,07:25 PM,on_time
95,helloflight,AA-4307-ORD-DTW,06:56 PM,06:56 PM,08:38 PM,08:38 PM,early
96,helloflight,AA-3-JFK-LAX,12:12 PM,12:12 PM,03:04 PM,03:04 PM,on_time
97,helloflight,CO-1694-LAX-IAH,07:15 PM,07:15 PM,12:21 AM,12:21 AM,on_time
98,helloflight,UA-843-LAX-ORD,02:04 PM,02:04 PM,07:20 PM,07:20 PM,on_time
99,helloflight,CO-1193-EWR-MCO,09:15 AM,09:15 AM,12:18 PM,12:18 PM,early
100,helloflight,AA-3842-MSP-ORD,06:57 AM,06:57 AM,07:49 AM,07:49 AM,late
101,helloflight,AA-643-MIA-ORD,07:31 AM,07:31 AM,09:26 AM,09:26 AM,on_time
102,helloflight,AA-1007-MIA-PHX,05:09 PM,05:09 PM,07:43 PM,07:43 PM,early
103,helloflight,AA-2525-DFW-MIA,07:39 AM,07:39 AM,10:43 AM,10:43 AM,on_time
104,helloflight,UA-2906-PHL-MCO,04:44 PM,04:44 PM,06:28 PM,06:28 PM,on_time
105,helloflight,UA-938-DEN-ORD,04:37 PM,04:37 PM,07:23 PM,07:23 PM,on_time
106,helloflight,AA-1221-MCO-ORD,08:23 PM,08:23 PM,09:47 PM,09:47 PM,on_time
107,helloflight,CO-16-LAX-EWR,10:25 AM,10:25 AM,06:44 PM,06:44 PM,early
108,helloflight,UA-2515-DFW-CLT,07:30 AM,07:30 AM,10:43 AM,10:43 AM,late
109,helloflight,AA-400-DFW-JFK,11:02 AM,11:02 AM,02:58 PM,02:58 PM,on_time
110,helloflight,UA-664-ORD-PHL,01:48 PM,01:48 PM,04:20 PM,04:20 PM,early
111,helloflight,AA-3756-ORD-SLC,12:42 PM,12:42 PM,02:50 PM,02:50 PM,on_time
112,helloflight,UA-37-EWR-MCO,01:29 PM,01:29 PM,04:17 PM,04:17 PM,on_time
113,helloflight,AA-1522-SFO-ORD,12:11 AM,12:11 AM,05:52 AM,05:52 AM,on_time
114,helloflight,UA-233-LAX-JFK,04:28 PM,04:28 PM,12:01 AM,12:01 AM,on_time
115,helloflight,AA-3823-LAX-DEN,09:06 PM,09:06 PM,11:49 PM,11:49 PM,on_time
116,helloflight,AA-2312-DFW-DTW,08:29 PM,08:29 PM,11:35 PM,11:35 PM,on_time
117,helloflight,AA-1165-JFK-MIA,07:23 AM,07:23 AM,09:45 AM,09:45 AM,early
118,helloflight,AA-431-MIA-SFO,08:52 AM,08:52 AM,11:33 AM,11:33 AM,early
119,helloflight,UA-3373-IAD-PHL,08:37 AM,08:37 AM,09:13 AM,09:13 AM,early
120,helloflight,AA-649-ORD-SNA,01:41 PM,01:41 PM,03:29 PM,03:29 PM,on_time
121,helloflight,CO-1250-MIA-IAH,02:53 PM,02:53 PM,04:48 PM,04:48 PM,on_time
122,helloflight,UA-6273-YYC-SFO,07:41 AM,07:41 AM,08:33 AM,08:33 AM,early
123,helloflight,UA-828-SFO-ORD,11:08 PM,11:08 PM,05:11 AM,05:11 AM,on_time
124,helloflight,CO-4888-IAH-DAL,05:38 PM,05:38 PM,06:19 PM,06:19 PM,on_time
125,helloflight,UA-858-PVG-SFO,01:50 PM,01:50 PM,07:50 AM,07:50 AM,early
126,helloflight,UA-2704-DTW-PHX,11:47 AM,11:47 AM,01:52 PM,01:52 PM,late
127,helloflight,AA-3063-SLC-LAX,08:40 PM,08:40 PM,09:12 PM,09:12 PM,on_time
128,helloflight,UA-2708-EWR-CLT,03:04 PM,03:04 PM,04:22 PM,04:22 PM,early
129,helloflight,UA-62-IAH-EWR,02:30 PM,02:30 PM,07:03 PM,07:03 PM,on_time
130,helloflight,UA-1500-IAH-GUA,08:55 AM,08:55 AM,11:45 AM,11:45 AM,on_time
131,helloflight,AA-3804-PHL-ORD,02:44 PM,02:44 PM,03:36 PM,03:36 PM,early
132,helloflight,AA-1917-JFK-MCO,03:28 PM,03:28 PM,05:39 PM,05:39 PM,early
133,helloflight,AA-2268-PHX-ORD,07:22 AM,07:22 AM,11:04 AM,11:04 AM,early
134,helloflight,AA-4277-CVG-JFK,12:11 PM,12:11 PM,01:42 PM,01:42 PM,early
135,helloflight,AA-2957-DFW-CVG,08:04 AM,08:04 AM,10:58 AM,10:58 AM,on_time
136,helloflight,UA-37-EDI-EWR,09:05 AM,09:05 AM,11:53 AM,11:53 AM,late
137,helloflight,AA-789-ORD-DEN,01:20 PM,01:20 PM,02:49 PM,02:49 PM,late
138,helloflight,AA-415-BOS-ORD,08:55 AM,08:55 AM,10:12 AM,10:12 AM,early
139,helloflight,AA-85-JFK-SFO,03:38 PM,03:38 PM,06:30 PM,06:30 PM,on_time
140,helloflight,AA-3979-CVG-ORD,08:04 AM,08:04 AM,07:59 AM,07:59 AM,on_time
141,helloflight,AA-3786-IAH-ORD,04:12 PM,04:12 PM,06:11 PM,06:11 PM,early
142,helloflight,AA-271-MIA-LAX,11:52 AM,11:52 AM,02:21 PM,02:21 PM,on_time
143,helloflight,CO-50-CLE-EWR,02:55 PM,02:55 PM,04:49 PM,04:49 PM,late
144,helloflight,UA-3099-PHX-PHL,11:55 AM,11:55 AM,05:34 PM,05:34 PM,early
145,helloflight,AA-4198-ORD-CLE,10:55 AM,10:55 AM,12:37 PM,12:37 PM,early
146,helloflight,AA-404-MIA-MCO,06:58 AM,06:58 AM,07:37 AM,07:37 AM,early
147,helloflight,CO-45-EWR-MIA,04:00 PM,04:00 PM,07:05 PM,07:05 PM,early
148,helloflight,AA-3809-PHX-LAX,06:11 AM,06:11 AM,06:15 AM,06:15 AM,early
149,helloflight,AA-59-JFK-SFO,07:40 AM,07:40 AM,10:52 AM,10:52 AM,late
150,helloflight,AA-222-LAX-BOS,07:32 AM,07:32 AM,03:12 PM,03:12 PM,early
151,boston,AA-3859-IAH-ORD,07:10 AM,07:16 AM,09:40 AM,09:22 AM,early
152,boston,CO-1586-IAH-MCO,07:42 PM,07:42 PM,10:23 PM,10:23 PM,on_time
153,boston,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:12 AM,on_time
154,boston,UA-397-JFK-SFO,08:00 AM,08:49 AM,11:55 AM,11:35 AM,on_time
155,boston,UA-3925-IAD-ORF,09:01 AM,09:01 AM,09:40 AM,09:40 AM,early
156,boston,AA-1733-ORD-PHX,07:45 PM,07:59 PM,10:30 PM,10:39 PM,on_time
157,boston,AA-3-JFK-LAX,12:00 PM,12:12 PM,03:15 PM,03:10 PM,on_time
158,boston,UA-2830-MCO-CLT,03:27 PM,03:50 PM,05:05 PM,05:17 PM,on_time
159,boston,CO-58-DEN-IAH,12:37 PM,12:37 PM,03:25 PM,03:25 PM,late
160,boston,UA-5487-SFO-MRY,10:53 AM,10:53 AM,11:18 AM,11:18 AM,on_time
161,boston,AA-204-LAX-MCO,11:25 PM,Not Available,06:55 AM,Not Available,on_time
162,boston,UA-414-LAX-SFO,06:10 AM,06:10 AM,07:10 AM,07:10 AM,early
163,boston,CO-1614-LAX-IAH,12:58 AM,12:58 AM,05:23 AM,05:23 AM,early
164,boston,UA-2726-FLL-PHL,04:00 PM,04:10 PM,06:46 PM,06:25 PM,early
165,boston,CO-52-IAH-LAX,07:56 AM,07:56 AM,09:09 AM,09:09 AM,early
166,boston,CO-1090-BOS-IAH,10:35 AM,10:35 AM,01:09 PM,01:09 PM,on_time
167,boston,AA-616-DFW-DTW,09:05 AM,10:11 AM,12:35 PM,01:18 PM,late
168,boston,UA-3515-IAD-MSP,08:26 AM,08:26 AM,09:54 AM,09:54 AM,early
169,boston,AA-3468-CVG-MIA,07:00 AM,07:25 AM,09:55 AM,09:42 AM,early
170,boston,AA-484-DFW-MIA,04:15 PM,04:30 PM,07:55 PM,07:35 PM,early
171,boston,AA-1886-BOS-MIA,10:55 AM,10:55 AM,01:34 PM,01:34 PM,early
172,boston,CO-62-IAH-EWR,02:59 PM,02:59 PM,06:59 PM,06:59 PM,on_time
173,boston,CO-1561-PHX-IAH,08:18 AM,08:18 AM,11:26 AM,11:26 AM,on_time
174,boston,UA-2314-ATL-PHL,03:04 PM,03:04 PM,04:45 PM,04:45 PM,early
175,boston,AA-446-DFW-PHL,11:50 AM,12:13 PM,03:50 PM,04:09 PM,late
176,boston,CO-1023-IAH-DEN,12:06 PM,12:06 PM,01:12 PM,01:12 PM,on_time
177,boston,AA-466-IAH-MIA,06:00 AM,06:09 AM,09:20 AM,09:00 AM,early
178,boston,UA-3050-PHX-CLT,11:05 AM,11:45 AM,04:57 PM,05:03 PM,on_time
179,boston,CO-89-IAH-EWR,06:17 AM,06:17 AM,10:18 AM,10:18 AM,on_time
180,boston,CO-1088-CLE-IAH,09:01 AM,09:01 AM,10:47 AM,10:47 AM,on_time
181,boston,AA-1664-MIA-ATL,10:15 AM,10:19 AM,12:10 PM,11:50 AM,early
182,boston,AA-1279-DFW-PHX,01:00 PM,02:04 PM,02:35 PM,03:19 PM,late
183,boston,UA-854-SFO-IAH,08:07 AM,08:07 AM,01:27 PM,01:27 PM,early
184,boston,UA-382-IAD-LAX,12:56 PM,12:56 PM,03:20 PM,03:20 PM,on_time
185,boston,AA-4344-ORD-DTW,12:14 PM,12:14 PM,02:01 PM,02:01 PM,on_time
186,boston,UA-257-JFK-SFO,02:30 PM,02:43 PM,06:15 PM,05:28 PM,early
187,boston,UA-2945-PHL-CLT,12:00 PM,12:08 PM,01:45 PM,01:14 PM,early
188,boston,CO-63-EWR-IAH,05:38 PM,05:38 PM,07:55 PM,07:55 PM,early
189,boston,CO-47-IAH-LAX,08:36 PM,08:36 PM,09:38 PM,09:38 PM,late
190,boston,AA-2050-ORD-MIA,10:40 AM,11:06 AM,02:45 PM,02:37 PM,on_time
191,boston,UA-248-PHX-ORD,12:57 PM,12:57 PM,04:52 PM,04:52 PM,late
192,boston,AA-4330-CVG-ORD,03:36 PM,03:36 PM,03:25 PM,03:25 PM,early
193,boston,AA-1434-DFW-MCO,07:15 AM,07:22 AM,10:35 AM,10:29 AM,on_time
194,boston,AA-1640-MIA-MCO,06:30 PM,Not Available,07:25 PM,Not Available,on_time
195,boston,AA-4307-ORD-DTW,06:45 PM,06:56 PM,09:10 PM,08:43 PM,early
196,boston,CO-1694-LAX-IAH,07:15 PM,Not Available,12:21 AM,Not Available,on_time
197,boston,UA-843-LAX-ORD,02:38 PM,02:38 PM,07:53 PM,07:53 PM,on_time
198,boston,CO-1193-EWR-MCO,09:15 AM,09:58 AM,12:18 PM,12:03 PM,early
199,boston,AA-3842-MSP-ORD,06:00 AM,06:57 AM,07:30 AM,07:51 AM,late
200,boston,AA-643-MIA-ORD,07:10 AM,07:31 AM,09:35 AM,09:29 AM,on_time
201,boston,AA-1007-MIA-PHX,05:09 PM,05:09 PM,07:53 PM,07:53 PM,early
202,boston,UA-2906-PHL-MCO,03:50 PM,04:46 PM,06:23 PM,06:36 PM,on_time
203,boston,UA-938-DEN-ORD,04:37 PM,04:37 PM,07:26 PM,07:26 PM,on_time
204,boston,AA-1221-MCO-ORD,08:00 PM,08:23 PM,09:45 PM,09:49 PM,on_time
205,boston,CO-16-LAX-EWR,10:37 AM,10:37 AM,06:13 PM,06:13 PM,early
206,boston,UA-2515-DFW-CLT,07:31 AM,07:31 AM,10:45 AM,10:45 AM,late
207,boston,AA-400-DFW-JFK,10:40 AM,11:02 AM,02:59 PM,02:56 PM,on_time
208,boston,UA-664-ORD-PHL,01:33 PM,01:48 PM,04:31 PM,04:18 PM,early
209,boston,AA-3756-ORD-SLC,12:15 PM,12:42 PM,02:45 PM,02:52 PM,on_time
210,boston,UA-37-EWR-MCO,02:01 PM,02:01 PM,04:06 PM,04:06 PM,on_time
211,boston,AA-1522-SFO-ORD,11:55 PM,11:55 PM,05:50 AM,05:50 AM,on_time
212,boston,UA-233-LAX-JFK,04:25 PM,04:25 PM,12:29 AM,12:29 AM,on_time
213,boston,AA-3823-LAX-DEN,09:00 PM,09:00 PM,12:15 AM,12:15 AM,on_time
214,boston,AA-2312-DFW-DTW,08:25 PM,08:25 PM,11:50 PM,11:50 PM,on_time
215,boston,AA-1165-JFK-MIA,06:59 AM,07:23 AM,10:34 AM,09:58 AM,early
216,boston,AA-431-MIA-SFO,08:35 AM,08:52 AM,11:50 AM,11:40 AM,early
217,boston,UA-3373-IAD-PHL,08:37 AM,08:37 AM,09:11 AM,09:11 AM,early
218,boston,AA-649-ORD-SNA,01:30 PM,01:30 PM,03:50 PM,03:50 PM,on_time
219,boston,CO-1250-MIA-IAH,03:17 PM,03:17 PM,04:55 PM,04:55 PM,on_time
220,boston,UA-6273-YYC-SFO,07:41 AM,07:41 AM,08:41 AM,08:41 AM,early
221,boston,UA-828-SFO-ORD,11:08 PM,11:08 PM,05:11 AM,05:11 AM,on_time
222,boston,CO-4888-IAH-DAL,05:30 PM,05:30 PM,06:09 PM,06:09 PM,on_time
223,boston,UA-858-PVG-SFO,12:45 AM,12:45 AM,07:58 AM,07:58 AM,early
224,boston,UA-2704-DTW-PHX,11:47 AM,11:47 AM,02:02 PM,02:02 PM,late
225,boston,AA-3063-SLC-LAX,08:40 PM,08:40 PM,09:11 PM,09:11 PM,on_time
226,boston,UA-2708-EWR-CLT,03:04 PM,03:04 PM,04:24 PM,04:24 PM,early
227,boston,UA-62-IAH-EWR,02:59 PM,02:59 PM,06:59 PM,06:59 PM,on_time
228,boston,UA-1500-IAH-GUA,09:43 AM,09:43 AM,12:10 PM,12:10 PM,on_time
229,boston,AA-3804-PHL-ORD,02:35 PM,02:44 PM,04:05 PM,03:36 PM,early
230,boston,AA-1917-JFK-MCO,02:55 PM,03:28 PM,05:55 PM,05:34 PM,early
231,boston,AA-2268-PHX-ORD,07:15 AM,07:23 AM,11:35 AM,11:07 AM,early
232,boston,AA-4277-CVG-JFK,12:10 PM,12:11 PM,02:15 PM,01:40 PM,early
233,boston,AA-2957-DFW-CVG,07:55 AM,08:05 AM,11:05 AM,11:00 AM,on_time
234,boston,UA-37-EDI-EWR,09:05 AM,09:05 AM,12:00 PM,12:00 PM,late
235,boston,AA-789-ORD-DEN,01:05 PM,01:20 PM,02:35 PM,03:01 PM,late
236,boston,AA-415-BOS-ORD,08:56 AM,08:56 AM,10:10 AM,10:10 AM,early
237,boston,AA-85-JFK-SFO,03:05 PM,03:38 PM,06:30 PM,06:36 PM,on_time
238,boston,AA-3979-CVG-ORD,07:30 AM,08:04 AM,08:00 AM,07:57 AM,on_time
239,boston,AA-1544-SAN-ORD,11:41 AM,11:41 AM,04:52 PM,04:52 PM,early
240,boston,AA-3786-IAH-ORD,04:00 PM,04:12 PM,06:40 PM,06:09 PM,early
241,boston,AA-271-MIA-LAX,11:35 AM,11:52 AM,02:25 PM,02:18 PM,on_time
242,boston,AA-2525-DFW-MIA,07:25 AM,07:40 AM,11:10 AM,10:53 AM,on_time
243,boston,CO-50-CLE-EWR,04:02 PM,04:02 PM,05:09 PM,05:09 PM,late
244,boston,UA-3099-PHX-PHL,11:55 AM,11:55 AM,06:17 PM,05:35 PM,early
245,boston,AA-4198-ORD-CLE,10:40 AM,10:55 AM,12:55 PM,12:48 PM,early
246,boston,AA-404-MIA-MCO,06:45 AM,06:58 AM,07:45 AM,07:32 AM,early
247,boston,CO-45-EWR-MIA,04:00 PM,04:15 PM,07:05 PM,06:33 PM,early
248,boston,AA-3809-PHX-LAX,06:00 AM,06:11 AM,06:40 AM,06:07 AM,early
249,boston,AA-59-JFK-SFO,07:10 AM,07:40 AM,10:45 AM,11:00 AM,late
250,boston,AA-222-LAX-BOS,07:10 AM,07:32 AM,03:30 PM,03:09 PM,early
251,weather,AA-3859-IAH-ORD,07:10 AM,07:10 AM,09:40 AM,09:40 AM,early
252,weather,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:09 AM,on_time
253,weather,UA-397-JFK-SFO,08:00 AM,08:49 AM,11:55 AM,11:34 AM,on_time
254,weather,UA-3925-IAD-ORF,08:41 AM,08:41 AM,09:54 AM,09:54 AM,early
255,weather,AA-1733-ORD-PHX,07:45 PM,07:45 PM,10:30 PM,10:30 PM,on_time
256,weather,AA-1640-MIA-MCO,06:30 PM,06:56 PM,07:25 PM,07:35 PM,on_time
257,weather,UA-2830-MCO-CLT,03:27 PM,03:27 PM,05:05 PM,05:05 PM,on_time
258,weather,CO-58-DEN-IAH,11:25 AM,11:25 AM,02:50 PM,02:50 PM,late
259,weather,AA-1544-SAN-ORD,11:25 AM,11:25 AM,05:25 PM,05:25 PM,early
260,weather,UA-5487-SFO-MRY,10:39 AM,10:39 AM,11:19 AM,11:19 AM,on_time
261,weather,AA-204-LAX-MCO,11:25 PM,11:58 PM,06:55 AM,07:02 AM,on_time
262,weather,UA-414-LAX-SFO,06:00 AM,06:00 AM,07:23 AM,07:23 AM,early
263,weather,AA-3756-ORD-SLC,12:15 PM,12:15 PM,02:45 PM,02:45 PM,on_time
264,weather,UA-2726-FLL-PHL,04:00 PM,04:00 PM,06:46 PM,06:46 PM,early
265,weather,CO-1090-BOS-IAH,09:45 AM,09:45 AM,01:16 PM,01:16 PM,on_time
266,weather,AA-3468-CVG-MIA,07:00 AM,07:00 AM,09:55 AM,09:55 AM,early
267,weather,UA-3515-IAD-MSP,08:15 AM,08:15 AM,10:06 AM,10:06 AM,early
268,weather,AA-484-DFW-MIA,04:15 PM,04:15 PM,07:55 PM,07:55 PM,early
269,weather,CO-62-IAH-EWR,02:30 PM,02:30 PM,07:03 PM,07:03 PM,on_time
270,weather,AA-446-DFW-PHL,11:50 AM,11:50 AM,03:50 PM,03:50 PM,late
271,weather,AA-466-IAH-MIA,06:00 AM,06:09 AM,09:20 AM,08:50 AM,early
272,weather,UA-3050-PHX-CLT,11:05 AM,11:05 AM,04:57 PM,04:57 PM,on_time
273,weather,CO-89-IAH-EWR,06:00 AM,06:00 AM,10:20 AM,10:20 AM,on_time
274,weather,CO-1088-CLE-IAH,08:40 AM,08:40 AM,10:54 AM,10:54 AM,on_time
275,weather,AA-1886-BOS-MIA,10:45 AM,10:45 AM,02:20 PM,02:20 PM,early
276,weather,AA-1664-MIA-ATL,10:15 AM,10:19 AM,12:10 PM,11:50 AM,early
277,weather,AA-3979-CVG-ORD,07:30 AM,07:30 AM,08:00 AM,08:00 AM,on_time
