index,beer_name,ounces,abv,ibu,brewery_id,brewery_name,city,state,style
65,Jockamo IPA,12,0.065,52,533,Abita Brewing Company,Abita Springs,LA,American IPA
66,Purple Haze,12,0.042,13,533,Abita Brewing Company,Abita Springs,LA,Fruit / Vegetable Beer
67,Abita Amber,12,0.045,17,533,Abita Brewing Company,Abita Springs,LA,American Amber / Red Lager
68,Citra Ass Down,16,0.082,68,62,Against The Grain Brewery,Louisville,KY,American IPA
69,The Brown Note,16,0.05,20,62,Against The Grain Brewery,Louisville,KY,American Brown Ale
70,Citra Ass Down,16,0.08,68,1,Against the Grain Brewery,Louisville,KY,American Double / Imperial IPA
71,London Balling,16,0.125,80,1,Against the Grain Brewery,Louisville,KY,English Barleywine
72,35 K,16,0.077,25,1,Against the Grain Brewery,Louisville,KY,Milk / Sweet Stout
73,A Beer,16,0.042,42,1,Against the Grain Brewery,Louisville,KY,American Pale Ale (APA)
74,Rules are Rules,16,0.05,25,1,Against the Grain Brewery,Louisville,KY,German Pilsener
75,Flesh Gourd'n,16,0.066,21,1,Against the Grain Brewery,Louisville,KY,Pumpkin Ale
76,Sho'nuff,16,0.04,13,1,Against the Grain Brewery,Louisville,KY,Belgian Pale Ale
77,Bloody Show,16,0.055,17,1,Against the Grain Brewery,Louisville,KY,American Pilsner
78,Rico Sauvin,16,0.076,68,1,Against the Grain Brewery,Louisville,KY,American Double / Imperial IPA
79,Coq de la Marche,16,0.051,38,1,Against the Grain Brewery,Louisville,KY,Saison / Farmhouse Ale
80,Kamen Knuddeln,16,0.065,,1,Against the Grain Brewery,Louisville,KY,American Wild Ale
81,Pile of Face,16,0.06,65,1,Against the Grain Brewery,Louisville,KY,American IPA
82,The Brown Note,16,0.05,20,1,Against the Grain Brewery,Louisville,KY,English Brown Ale
83,Maylani's Coconut Stout,16,0.053,35,367,Airways Brewing Company,Kent,WA,American Stout
84,Oatmeal PSA,16,0.05,35,367,Airways Brewing Company,Kent,WA,American Pale Ale (APA)
85,Pre Flight Pilsner,16,0.052,33,367,Airways Brewing Company,Kent,WA,American Pilsner
86,P-Town Pilsner,12,0.04,20,117,Alameda Brewing,Portland,OR,American Pilsner
87,Klickitat Pale Ale,12,0.053,36,117,Alameda Brewing,Portland,OR,American Pale Ale (APA)
88,Yellow Wolf Imperial IPA,12,0.082,103,117,Alameda Brewing,Portland,OR,American Double / Imperial IPA
89,Freeride APA,12,0.053,40,270,Alaskan Brewing Company,Juneau,AK,American Pale Ale (APA)
90,Alaskan Amber,12,0.053,18,270,Alaskan Brewing Company,Juneau,AK,Altbier
91,Hopalicious,12,0.057,,73,Ale Asylum,Madison,WI,American Pale Ale (APA)
92,Kentucky Kölsch,16,0.043,,388,Alltech's Lexington Brewing Company,Lexington,KY,Kölsch
93,Kentucky IPA,16,0.065,,388,Alltech's Lexington Brewing Company,Lexington,KY,American IPA
94,Dusty Trail Pale Ale,16,0.054,,401,Amnesia Brewing Company,Washougal,WA,American Pale Ale (APA)
95,Damnesia,16,0.062,,401,Amnesia Brewing Company,Washougal,WA,American IPA
96,Desolation IPA,16,0.062,43,401,Amnesia Brewing Company,Washougal,WA,American IPA
97,Liberty Ale,12,0.059,,35,Anchor Brewing Company,San Francisco,CA,American IPA
98,IPA,12,0.065,,35,Anchor Brewing Company,San Francisco,CA,American IPA
99,Summer Wheat,12,0.045,,35,Anchor Brewing Company,San Francisco,CA,American Pale Wheat Ale
100,California Lager,12,0.049,,35,Anchor Brewing Company,San Francisco,CA,American Amber / Red Lager
101,Brotherhood Steam,12,0.056,,35,Anchor Brewing Company,San Francisco,CA,California Common / Steam Beer
102,Blood Orange Gose,12,0.042,,171,Anderson Valley Brewing Company,Boonville,CA,Gose
103,Keebarlin' Pale Ale,12,0.042,,171,Anderson Valley Brewing Company,Boonville,CA,American Pale Ale (APA)
104,"the Kimmie, the Yink and the Holy Gose",12,0.048,,171,Anderson Valley Brewing Company,Boonville,CA,Gose
105,Fall Hornin',12,0.06,,171,Anderson Valley Brewing Company,Boonville,CA,Pumpkin Ale
106,Barney Flats Oatmeal Stout,12,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA,Oatmeal Stout
107,Summer Solstice,12,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA,Cream Ale
108,Hop Ottin' IPA,12,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA,American IPA
109,Boont Amber Ale,12,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA,American Amber / Red Ale
110,Barney Flats Oatmeal Stout,12,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA,Oatmeal Stout
111,El Steinber Dark Lager,16,0.055,25,171,Anderson Valley Brewing Company,Boonville,CA,Vienna Lager
112,Boont Amber Ale (2010),12,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA,American Amber / Red Ale
113,Summer Solstice Cerveza Crema (2009),12,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA,Cream Ale
114,Barney Flats Oatmeal Stout (2012),12,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA,Oatmeal Stout
115,Winter Solstice,12,0.069,6,171,Anderson Valley Brewing Company,Boonville,CA,Winter Warmer
116,Hop Ottin' IPA (2011),12,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA,American IPA
117,Boont Amber Ale (2011),12,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA,American Amber / Red Ale
118,Summer Solstice (2011),12,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA,Cream Ale
119,Poleeko Gold Pale Ale (2009),12,0.055,28,171,Anderson Valley Brewing Company,Boonville,CA,American Pale Ale (APA)
120,Charlie's Rye IPA,16,0.06,,146,Angry Minnow,Hayward,WI,American IPA
121,River Pig Pale Ale,16,0.054,,542,Angry Minnow Brewing Company,Hayward,WI,American Pale Ale (APA)
122,Oaky's Oatmeal Stout,16,0.047,,542,Angry Minnow Brewing Company,Hayward,WI,Oatmeal Stout
123,Angry Orchard Apple Ginger,16,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH,Cider
124,Angry Orchard Crisp Apple,16,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH,Cider
125,Angry Orchard Crisp Apple,12,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH,Cider
126,Golden One,12,0.068,,193,Anthem Brewing Company,Oklahoma City,OK,Belgian Pale Ale
127,Arjuna,12,0.06,,193,Anthem Brewing Company,Oklahoma City,OK,Witbier
128,Uroboros,12,0.085,,193,Anthem Brewing Company,Oklahoma City,OK,American Stout
129,Long Leaf,16,0.071,75,69,Appalachian Mountain Brewery,Boone,NC,American IPA
130,Honey Badger Blonde,16,0.047,19,69,Appalachian Mountain Brewery,Boone,NC,American Blonde Ale
131,Porter (a/k/a Black Gold Porter),16,0.06,23,69,Appalachian Mountain Brewery,Boone,NC,American Porter
132,Sky High Rye,12,0.06,55,541,Arcadia Brewing Company,Battle Creek,MI,American Pale Ale (APA)
133,Whitsun,12,0.062,17,541,Arcadia Brewing Company,Battle Creek,MI,American Pale Wheat Ale
134,On-On Ale (2008),12,0.052,,513,Arctic Craft Brewery,Colorado Springs,CO,American Pale Ale (APA)
135,Quakertown Stout,12,0.092,50,426,Armadillo Ale Works,Denton,TX,American Double / Imperial Stout
136,Greenbelt Farmhouse Ale,12,0.051,20,426,Armadillo Ale Works,Denton,TX,Saison / Farmhouse Ale
137,Mo's Gose,16,0.052,10,461,Armstrong Brewing Company,South San Francisco,CA,Gose
138,Green Bullet Organic India Pale Ale,16,0.07,45,429,Asher Brewing Company,Boulder,CO,American IPA
139,Rocket Girl,12,0.032,27,528,Asheville Brewing Company,Asheville,NC,Kölsch
140,Ninja Porter,12,0.053,26,528,Asheville Brewing Company,Asheville,NC,American Porter
141,Shiva IPA,12,0.06,69,528,Asheville Brewing Company,Asheville,NC,American IPA
142,Aslan Kölsch,16,0.048,,353,Aslan Brewing Company,Bellingham,WA,Kölsch
143,Aslan IPA,16,0.077,,353,Aslan Brewing Company,Bellingham,WA,American IPA
144,Aslan Amber,16,0.077,,353,Aslan Brewing Company,Bellingham,WA,American Amber / Red Ale
145,This Season's Blonde,12,0.056,27,523,Aspen Brewing Company,Aspen,CO,American Blonde Ale
146,Independence Pass Ale,12,0.07,67,523,Aspen Brewing Company,Aspen,CO,American IPA
147,Trolley Stop Stout,12,0.057,40,374,Astoria Brewing Company,Astoria,OR,American Stout
148,Bitter Bitch Imperial IPA,12,0.082,138,374,Astoria Brewing Company,Astoria,OR,American Double / Imperial IPA
149,Poop Deck Porter,12,0.062,35,374,Astoria Brewing Company,Astoria,OR,American Porter
150,Old Red Beard Amber Ale,12,0.06,35,374,Astoria Brewing Company,Astoria,OR,American Amber / Red Ale
151,Hop A-Peel,16,0.075,115,72,Atwater Brewery,Detroit,MI,American Double / Imperial IPA
152,Vanilla Java Porter,16,0.055,12,72,Atwater Brewery,Detroit,MI,American Porter
153,Michelada,16,0.052,,72,Atwater Brewery,Detroit,MI,Fruit / Vegetable Beer
154,Dirty Blonde Ale,12,0.045,8,72,Atwater Brewery,Detroit,MI,American Blonde Ale
155,Grand Circus IPA,12,0.05,62,72,Atwater Brewery,Detroit,MI,American IPA
156,Atwater's Lager,12,0.05,12,72,Atwater Brewery,Detroit,MI,Munich Helles Lager
157,Heavy Machinery IPA Series #1: Heavy Fist,16,0.07,,413,Austin Beerworks,Austin,TX,American Black Ale
158,Fire Eagle IPA,12,0.062,,413,Austin Beerworks,Austin,TX,American IPA
159,Peacemaker,12,0.051,,413,Austin Beerworks,Austin,TX,American Pale Ale (APA)
160,Pearl-Snap,12,0.053,,413,Austin Beerworks,Austin,TX,German Pilsener
161,Black Thunder,12,0.052,,413,Austin Beerworks,Austin,TX,Schwarzbier
162,Raja,12,0.08,,37,Avery Brewing Company,Boulder,CO,American Double / Imperial IPA
163,Perzik Saison,12,0.064,,37,Avery Brewing Company,Boulder,CO,Saison / Farmhouse Ale
164,Avery Joe’s Premium American Pilsner,12,0.047,42,37,Avery Brewing Company,Boulder,CO,German Pilsener
165,White Rascal,12,0.056,10,37,Avery Brewing Company,Boulder,CO,Witbier
166,Avery India Pale Ale,12,0.063,69,37,Avery Brewing Company,Boulder,CO,American IPA
167,Ellie’s Brown Ale,12,0.055,17,37,Avery Brewing Company,Boulder,CO,American Brown Ale
168,Pumpkin Beast,12,0.062,17,360,Aviator Brewing Company,Fuquay-Varina,NC,Pumpkin Ale
169,OktoberBeast,12,0.072,22,360,Aviator Brewing Company,Fuquay-Varina,NC,Märzen / Oktoberfest
170,Mad Beach,12,0.048,23,360,Aviator Brewing Company,Fuquay-Varina,NC,American Pale Wheat Ale
171,Hog Wild India Pale Ale,12,0.067,,360,Aviator Brewing Company,Fuquay-Varina,NC,American IPA
172,Devils Tramping Ground Tripel,12,0.092,5,360,Aviator Brewing Company,Fuquay-Varina,NC,Tripel
173,Hot Rod Red,12,0.061,41,360,Aviator Brewing Company,Fuquay-Varina,NC,American Amber / Red Ale
174,Palate Mallet,12,0.086,,235,Back East Brewing Company,Bloomfield,CT,American Double / Imperial IPA
175,Back East Porter,12,0.06,,235,Back East Brewing Company,Bloomfield,CT,American Porter
176,Back East Golden Ale,12,0.049,,235,Back East Brewing Company,Bloomfield,CT,American Blonde Ale
177,Misty Mountain IPA,12,0.07,,235,Back East Brewing Company,Bloomfield,CT,American IPA
178,Back East Ale,12,0.05,,235,Back East Brewing Company,Bloomfield,CT,American Amber / Red Ale
179,Truck Stop Honey Brown Ale,12,0.06,,286,Back Forty Beer Company,Gadsden,AL,English Brown Ale
180,Naked Pig Pale Ale,12,0.06,43,286,Back Forty Beer Company,Gadsden,AL,American Pale Ale (APA)
181,Topcutter India Pale Ale,12,0.068,70,483,Bale Breaker Brewing Company,Yakima,WA,American IPA
182,Field 41 Pale Ale,12,0.044,38,483,Bale Breaker Brewing Company,Yakima,WA,American Pale Ale (APA)
183,Grapefruit Sculpin,12,0.07,,34,Ballast Point Brewing Company,San Diego,CA,American IPA
184,Even Keel,12,0.038,40,34,Ballast Point Brewing Company,San Diego,CA,American IPA
185,Ballast Point Pale Ale,12,0.052,23,34,Ballast Point Brewing Company,San Diego,CA,Kölsch
186,Big Eye India Pale Ale,12,0.07,75,34,Ballast Point Brewing Company,San Diego,CA,American IPA
187,Longfin Lager,12,0.046,,34,Ballast Point Brewing Company,San Diego,CA,Munich Helles Lager
188,Sculpin IPA,12,0.07,70,34,Ballast Point Brewing Company,San Diego,CA,American IPA
189,All Nighter Ale,12,0.045,,318,Banner Beer Company,Williamsburg,MA,Extra Special / Strong Bitter (ESB)
190,Banner American Rye,12,0.045,20,318,Banner Beer Company,Williamsburg,MA,Rye Beer
191,Banner American Ale,12,0.035,45,318,Banner Beer Company,Williamsburg,MA,American Amber / Red Ale
192,Thai.p.a,16,0.07,46,20,Bare Hands Brewery,Granger,IN,American IPA
193,Barrio Blanco,12,0.06,60,251,Barrio Brewing Company,Tucson,AZ,American IPA
194,Barrio Tucson Blonde,12,0.045,,251,Barrio Brewing Company,Tucson,AZ,American Blonde Ale
195,Hop in the ‘Pool Helles,12,0.049,22,116,Base Camp Brewing Co.,Portland,OR,American Pilsner
196,Ultra Gnar Gnar IPA,12,0.067,60,116,Base Camp Brewing Co.,Portland,OR,American IPA
197,In-Tents India Pale Lager,12,0.068,62,116,Base Camp Brewing Co.,Portland,OR,American Pale Lager
198,Lost Meridian Wit,12,0.05,20,116,Base Camp Brewing Co.,Portland,OR,Witbier
199,Celestial Meridian Cascadian Dark Lager,12,0.051,45,116,Base Camp Brewing Co.,Portland,OR,Euro Dark Lager
200,Wagon Party,12,0.054,55,258,Bauhaus Brew Labs,Minneapolis,MN,California Common / Steam Beer
201,Sky-Five,12,0.067,70,258,Bauhaus Brew Labs,Minneapolis,MN,American IPA
202,Stargrazer,12,0.05,28,258,Bauhaus Brew Labs,Minneapolis,MN,Schwarzbier
203,Wonderstuff,12,0.054,48,258,Bauhaus Brew Labs,Minneapolis,MN,German Pilsener
204,Tarnation California-Style Lager,12,0.053,,292,Baxter Brewing Company,Lewiston,ME,California Common / Steam Beer
205,On the Count of 3 (2015),16,0.07,42,292,Baxter Brewing Company,Lewiston,ME,Hefeweizen
206,Summer Swelter,12,0.047,,292,Baxter Brewing Company,Lewiston,ME,American Pale Wheat Ale
207,Phantom Punch Winter Stout,12,0.068,,292,Baxter Brewing Company,Lewiston,ME,Foreign / Export Stout
208,Hayride Autumn Ale,12,0.066,,292,Baxter Brewing Company,Lewiston,ME,Rye Beer
209,Celsius Summer Ale (2012),12,0.047,,292,Baxter Brewing Company,Lewiston,ME,American Pale Wheat Ale
210,Amber Road,12,0.055,35,292,Baxter Brewing Company,Lewiston,ME,American Amber / Red Ale
211,Pamola Xtra Pale Ale,12,0.049,28,292,Baxter Brewing Company,Lewiston,ME,American Pale Ale (APA)
212,Stowaway IPA,12,0.069,69,292,Baxter Brewing Company,Lewiston,ME,American IPA
213,Hoptopus Double IPA,16,0.088,108,306,Beach Brewing Company,Virginia Beach,VA,American Double / Imperial IPA
214,Watermelon Ale,12,0.05,10,103,Beer Works Brewery,Lowell,MA,Fruit / Vegetable Beer
215,Fenway American Pale Ale,12,0.058,45,103,Beer Works Brewery,Lowell,MA,American Pale Ale (APA)
216,Back Bay IPA,12,0.068,85,103,Beer Works Brewery,Lowell,MA,American IPA
217,Bunker Hill Blueberry Ale,12,0.048,16,103,Beer Works Brewery,Lowell,MA,Other
218,Oberon,12,0.058,,76,Bell's Brewery,Kalamazoo,MI,American Pale Wheat Ale
219,Smitten,16,0.06,,76,Bell's Brewery,Kalamazoo,MI,Rye Beer
220,Winter White,16,0.05,,76,Bell's Brewery,Kalamazoo,MI,Witbier
221,Oberon,16,0.058,,76,Bell's Brewery,Kalamazoo,MI,American Pale Wheat Ale
222,Two Hearted,16,0.07,,76,Bell's Brewery,Kalamazoo,MI,American IPA
223,Best Brown,16,0.058,,76,Bell's Brewery,Kalamazoo,MI,American Brown Ale
224,Moar,12,0.044,44,53,Bent Brewstillery,Roseville,MN,English India Pale Ale (IPA)
225,Uber Lupin Schwarz IPA,16,0.083,,53,Bent Brewstillery,Roseville,MN,American Double / Imperial IPA
226,Nordic Blonde,12,0.057,27,53,Bent Brewstillery,Roseville,MN,American Blonde Ale
227,Cold Press,12,0.06,,75,Bent Paddle Brewing Company,Duluth,MN,American Black Ale
228,Harness the Winter,12,0.072,87,75,Bent Paddle Brewing Company,Duluth,MN,American IPA
229,14° ESB,12,0.056,32,75,Bent Paddle Brewing Company,Duluth,MN,Extra Special / Strong Bitter (ESB)
230,Bent Hop Golden IPA,12,0.062,68,75,Bent Paddle Brewing Company,Duluth,MN,American IPA
231,Bent Paddle Black Ale,12,0.06,34,75,Bent Paddle Brewing Company,Duluth,MN,American Black Ale
232,Venture Pils,12,0.05,38,75,Bent Paddle Brewing Company,Duluth,MN,German Pilsener
233,Lost Sailor IPA,12,0.055,40,278,Berkshire Brewing Company,South Deerfield,MA,English India Pale Ale (IPA)
234,Steel Rail Extra Pale Ale,12,0.053,20,278,Berkshire Brewing Company,South Deerfield,MA,American Pale Ale (APA)
235,La Frontera Premium IPA,12,0.078,,463,Big Bend Brewing Company,Alpine,TX,American IPA
236,Tejas Lager,12,0.047,,463,Big Bend Brewing Company,Alpine,TX,Czech Pilsener
237,Number 22 Porter,12,0.064,,463,Big Bend Brewing Company,Alpine,TX,American Porter
238,Big Bend Hefeweizen,12,0.056,,463,Big Bend Brewing Company,Alpine,TX,Hefeweizen
239,Terlingua Gold,12,0.06,,463,Big Bend Brewing Company,Alpine,TX,American Blonde Ale
240,Aprè Shred,16,0.081,17,220,Big Choice Brewing,Broomfield,CO,American Strong Ale
241,Hemlock Double IPA,12,0.095,104,220,Big Choice Brewing,Broomfield,CO,American Double / Imperial IPA
242,West Portal Colorado Common Summer Ale,16,0.041,,220,Big Choice Brewing,Broomfield,CO,California Common / Steam Beer
243,Disconnected Red,16,0.067,85,220,Big Choice Brewing,Broomfield,CO,American Amber / Red Ale
244,Big Elm IPA,12,0.07,,477,Big Elm Brewing,Sheffield,MA,American IPA
245,Gerry Dog Stout,12,0.065,,477,Big Elm Brewing,Sheffield,MA,American Stout
246,413 Farmhouse Ale,12,0.06,,477,Big Elm Brewing,Sheffield,MA,Saison / Farmhouse Ale
247,Dark Star,16,0.08,54,8,Big Lake Brewing,Holland,MI,American Stout
248,Ryecoe,16,0.062,,8,Big Lake Brewing,Holland,MI,American IPA
249,Blueberry Blonde,12,0.06,,40,Big Muddy Brewing,Murphysboro,IL,Fruit / Vegetable Beer
250,Galaxy IPA,16,0.075,60,40,Big Muddy Brewing,Murphysboro,IL,American IPA
251,Big River Pilsner,12,0.05,32,519,Big River Brewing Company,Chattanooga,TN,Czech Pilsener
252,House Brand IPA,12,0.06,55,519,Big River Brewing Company,Chattanooga,TN,American IPA
253,Big Sky IPA,12,0.062,65,336,Big Sky Brewing Company,Missoula,MT,American IPA
254,Scape Goat Pale Ale,12,0.05,40,336,Big Sky Brewing Company,Missoula,MT,English Pale Ale
255,Montana Trout Slayer Ale,12,0.05,35,336,Big Sky Brewing Company,Missoula,MT,American Pale Wheat Ale
256,Moose Drool Brown Ale,12,0.051,26,336,Big Sky Brewing Company,Missoula,MT,American Brown Ale
257,Powder Hound Winter Ale,12,0.072,60,336,Big Sky Brewing Company,Missoula,MT,English Strong Ale
258,Moose Drool Brown Ale (2011),12,0.051,26,336,Big Sky Brewing Company,Missoula,MT,American Brown Ale
259,Montana Trout Slayer Ale (2012),12,0.05,35,336,Big Sky Brewing Company,Missoula,MT,American Pale Wheat Ale
260,Big Sky IPA (2012),12,0.062,65,336,Big Sky Brewing Company,Missoula,MT,American IPA
261,Summer Honey,12,0.047,,336,Big Sky Brewing Company,Missoula,MT,American Blonde Ale
262,Scape Goat Pale Ale (2010),12,0.05,40,336,Big Sky Brewing Company,Missoula,MT,English Pale Ale
263,Montana Trout Slayer Ale (2009),12,0.05,35,336,Big Sky Brewing Company,Missoula,MT,American Pale Wheat Ale
264,Moose Drool Brown Ale (2009),12,0.051,26,336,Big Sky Brewing Company,Missoula,MT,American Brown Ale
265,Arcus IPA,12,0.069,81,221,Big Storm Brewing Company,Odessa,FL,American IPA
266,Wavemaker,12,0.058,38,221,Big Storm Brewing Company,Odessa,FL,American Amber / Red Ale
267,Jack Pine Savage,16,0.053,43,444,Big Wood Brewery,Vadnais Heights,MN,American Pale Ale (APA)
268,Forest Fire Imperial Smoked Rye,16,0.099,85,444,Big Wood Brewery,Vadnais Heights,MN,Rye Beer
269,Bad Axe Imperial IPA,16,0.098,76,444,Big Wood Brewery,Vadnais Heights,MN,American Double / Imperial IPA
270,Morning Wood,16,0.055,35,444,Big Wood Brewery,Vadnais Heights,MN,Oatmeal Stout
271,Bark Bite IPA,16,0.066,50,444,Big Wood Brewery,Vadnais Heights,MN,American IPA
272,Jalapeno Pale Ale,16,0.055,45,70,Birdsong Brewing Company,Charlotte,NC,American Pale Ale (APA)
273,Blown Out Brown,12,0.052,,407,Bitter Root Brewing,Hamilton,MT,American Brown Ale
274,Single Hop Ale,12,0.063,,407,Bitter Root Brewing,Hamilton,MT,American Pale Ale (APA)
275,Sawtooth Ale,12,0.054,,407,Bitter Root Brewing,Hamilton,MT,American Blonde Ale
276,Saucy Intruder,16,0.072,75,18,Black Acre Brewing Co.,Indianapolis,IN,Rye Beer
