dataset,version,task_type,model,P_clean,P_dirty,P_dc,tolerance_prior,tolerance_post
mercedes,v7,regression,rf,0.4461949095791533,0.4249634290338258,-0.04384364829372411,-0.1031704031412884,-22.08075298030601
mercedes,v7,regression,ridge,0.43971538423191525,0.4394955159155127,-0.016765651315287178,-0.038147491176019545,-2075.1565059309996
mercedes,v8,regression,rf,0.4461949095791533,0.4249634290338258,-0.1775974457079521,-0.4179123039168999,-28.380539616884377
mercedes,v8,regression,ridge,0.43971538423191525,0.4394955159155127,-0.009099438730750142,-0.02070428116153838,-2040.289214863459
nasa,v3,regression,rf,0.6648106411090795,0.5466548230621495,-0.38018480306856794,-0.6954750731712551,-7.84421488040977
nasa,v3,regression,ridge,0.24994023270531185,0.1282485966365411,0.035181049958485144,0.27431918072514194,-0.7647817852121022
nasa,v5,regression,rf,0.6791534862086115,0.5719498528481834,0.6791534862086115,1.1874353718714634,1.0
nasa,v5,regression,ridge,0.002334946505679336,-0.0012476735822752882,0.002334946505679225,-1.8714402058759305,0.999999999999969
nasa,v6,regression,rf,0.6648106411090795,0.5466548230621495,-0.30987076163062643,-0.5668490399386763,-7.249118992621886
nasa,v6,regression,ridge,0.24994023270531185,0.1282485966365411,0.06562737695995446,0.5117200396815543,-0.5145893481224784
nasa,v7,regression,rf,0.6791534862086115,0.5719498528481834,-0.4828303776898035,-0.8441830613040904,-9.8390343449622
nasa,v7,regression,ridge,0.002334946505679336,-0.0012476735822752882,-0.004739815099727318,3.7989223840771515,-0.9747451395120574
nasa,v8,regression,rf,0.6791534862086115,0.5719498528481834,-0.4721868898292516,-0.8255739335850261,-9.739751442630265
nasa,v8,regression,ridge,0.002334946505679336,-0.0012476735822752882,-0.006029429512750983,4.832537611123871,-1.3347091829671722
smartfactory,v3,classification,rf,0.980757031084796,0.9775851131317403,0.9775851131317403,1.0,0.0
smartfactory,v3,classification,lr,0.7739479805455699,0.771198984986255,0.771198984986255,1.0,0.0
smartfactory,v5,classification,rf,0.9587737843551797,0.9545454545454546,0.6761804087385482,0.7083794758213362,-65.83333333333434
smartfactory,v5,classification,lr,0.7632135306553911,0.7600422832980972,0.7596899224806202,0.9995363931386185,-0.11111111111108778
smartfactory,v6,classification,rf,0.980757031084796,0.9775851131317403,0.6982448720659759,0.7142548128920614,-88.066666666667
smartfactory,v6,classification,lr,0.7739479805455699,0.771198984986255,0.7714104461831254,1.0002741979709349,0.07692307692305829
smartfactory,v7,classification,rf,0.9587737843551797,0.9545454545454546,0.6747709654686399,0.7069029162052418,-66.16666666666767
smartfactory,v7,classification,lr,0.7632135306553911,0.7600422832980972,0.7596899224806202,0.9995363931386185,-0.11111111111108778
smartfactory,v8,classification,rf,0.9587737843551797,0.9545454545454546,0.9605355884425651,1.0062753783684015,1.416666666666669
smartfactory,v8,classification,lr,0.7632135306553911,0.7600422832980972,0.7628611698379141,1.0037088548910524,0.8888888888889123
soilmoisture,v3,regression,rf,0.937786360536501,0.8954532895913061,-0.25721858539549114,-0.28724958452370897,-27.228638254925226
soilmoisture,v3,regression,ridge,0.8907699976144976,0.5525848948163807,-0.9671485433518805,-1.7502261687287992,-4.493791789153652
soilmoisture,v5,regression,rf,0.9617675263903784,0.8942118587241152,0.9411805329319216,1.0525252195545947,0.6952588262444511
soilmoisture,v5,regression,ridge,0.8225494705713682,0.6104413709274278,0.7392686450890865,1.211039553177621,0.6073661231132488
soilmoisture,v6,regression,rf,0.937786360536501,0.8954532895913061,-1.3413660078131882,-1.4979742923557755,-52.838578620963226
soilmoisture,v6,regression,ridge,0.8907699976144976,0.5525848948163807,-0.3065700838612424,-0.5547927327313444,-2.540487359049948
soilmoisture,v7,regression,rf,0.9617675263903784,0.8942118587241152,-0.35452449955831344,-0.3964658890390452,-18.4845535751553
soilmoisture,v7,regression,ridge,0.8225494705713682,0.6104413709274278,-0.2840999497353933,-0.4654008775712033,-4.217384070502075
soilmoisture,v8,regression,rf,0.9617675263903784,0.8942118587241152,0.8882911167905767,0.9933788152373797,-0.08764241607066976
soilmoisture,v8,regression,ridge,0.8225494705713682,0.6104413709274278,0.6118753486994972,1.0023490835326099,0.006760598838406526
