dataset,version,task_type,action_no_action,action_repair,action_delete,action_replace,error_missing,error_semantic,error_syntactic,error_label_noise,count_no_action,count_repair,count_delete,count_replace
mercedes,v3,regression,1.2896350654045818e-12,35.41815808390188,1.2896350654045818e-12,1.2896350654045818e-12,-0.023708924813324945,3.9830503788355807,31.458816629883483,0,0,301127,0,0
mercedes,v5,regression,10.306568357652893,2.437963028453435,5.773168332432685,-3.6258304441332343,1.1135839471688769,0,-4.227218931069245,0,21378,17,2020,37571
mercedes,v6,regression,-27.043973948358598,-9.660585517745849,-59.17358823812418,1.1975436009585725,1.5853230513596728,0,-38.932207587345836,0,0,0,0,0
mercedes,v7,regression,22.642162509890273,-6.750458124345805,-78.68976411115166,6.396122687796119,38.09831784365141,0,-71.85282078658958,0,54572,94,1407,60
mercedes,v8,regression,-0.455617643715275,-7.246698624706585,9.475194460000067,0.9339911514617221,14.277692572686526,0,5.3379785598704,0,0,0,0,0
nasa,v3,regression,0.19669438217890445,1.9464037705195925,0.45077137219828484,0.04319094447206595,0.06395545133782814,-0.6586594554070379,2.8744291919451848,0,0,69,49,1107
nasa,v5,regression,0.4303201943379141,-2.328310687201358,-0.5806303517609314,0.3801975140549576,-2.0103156366898176,-0.08087383013097771,0.6557016749055311,0,0,506,0,14
nasa,v6,regression,-0.47324752427330036,0.8027407519711934,7.792618287106255,0.0695175184581552,2.5268958535257724,0.299754156095716,3.716508714572271,0,0,0,0,0
nasa,v7,regression,0.7708027150130482,1.0091188646756712,-3.2013760132770686,-1.4269364328482468,-2.3226604762659924,1.5146893359747675,-6.186043118073546,0,8,2,267,177
nasa,v8,regression,-2.497045364911312,-1.0056338960698905,-1.524153946072796,-1.2410209393415446,-4.145089469416848,-0.9169911400304139,-0.05868327996963766,0,0,0,0,0
smartfactory,v3,classification,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7093
smartfactory,v5,classification,-0.0010528554819079217,0.00032630072676415045,-0.002329317685981528,0.02544898287678891,0.03031557980652344,0,-0.0032180188309136604,0,0,0,37,4558
smartfactory,v6,classification,0.0016245446265937824,-0.001646087291579094,0.017150535939470374,-0.005513608659100481,0.011066571212270893,0,-0.005605032750732375,0,0,0,0,0
smartfactory,v7,classification,-0.01173917128471417,-0.006914921281825988,0.00019853835954095991,0.0003954114954804096,-0.0038176608099719234,0,-0.005068169974941417,0,4189,53,66,0
smartfactory,v8,classification,-0.0010000000000000009,0.001666666666666668,-0.00033333333333333365,0.024666666666666687,0.019500000000000017,0,0.0015000000000000013,0,0,0,0,0
soilmoisture,v3,regression,10.819330059001985,-3.7139936829673794,-29.220670373124694,5.907804994239945,-0.003667673300489819,-2.756827535962199,-15.554890373663751,0,5133,0,543,0
soilmoisture,v5,regression,-0.005974864351849203,0.056708898405346424,0.019770337932101256,0.8203505313477363,0.08093301901234695,0.1357505932098757,0.8696205583950641,0,0,4267,0,10838
soilmoisture,v6,regression,-3.343386599330968,-15.310508170711465,-35.004112887606745,3.6488556226463484,6.522608166377417,6.785265893300314,-23.707551132181806,0,0,0,0,0
soilmoisture,v7,regression,-1.2469912348076033,-1.4341309294009266,-8.034834655007662,8.077485501557694,3.2435982672026875,-0.5744769203026285,-0.6913075150621886,0,0,0,186,5053
soilmoisture,v8,regression,0.23811796261670848,0.358059861763431,0.25476577839633235,0.4691072276268673,-0.3817377890864577,0,0.43199898379625523,0,0,0,0,0
