abv,ibu,is_ipa
0.09,99.0,0
0.073,50.0,1
0.05,7.0,0
0.058,35.0,0
0.092,5.0,0
0.048,35.0,0
0.082,80.0,1
0.07,18.0,0
0.045,18.0,0
0.067,70.0,1
0.08,70.0,1
0.048,10.0,0
0.05,35.0,0
0.04,9.0,0
0.082,25.0,0
0.045,20.0,0
0.056,37.0,0
0.052,12.0,0
0.07,75.0,1
0.055,55.0,0
0.062,65.0,1
0.056,21.0,0
0.045,16.0,0
0.055,42.0,0
0.074,60.0,1
0.054,19.0,0
0.052,49.0,0
0.059,15.0,0
0.051,22.0,0
0.07,82.0,1
0.099,85.0,0
0.062,17.0,0
0.046,35.0,0
0.07,42.0,0
0.056,30.0,0
0.042,42.0,0
0.063,30.0,0
0.07,80.0,1
0.032,27.0,0
0.056,32.0,0
0.055,45.0,1
0.085,90.0,1
0.057,42.0,0
0.055,15.0,0
0.065,70.0,1
0.083,50.0,0
0.063,64.0,1
0.072,75.0,1
0.047,14.0,0
0.037,34.0,0
0.099,60.0,0
0.045,25.0,0
0.065,65.0,1
0.054,24.0,0
0.039,20.0,0
0.05,15.0,0
0.042,20.0,0
0.088,108.0,1
0.048,12.0,0
0.053,48.0,0
0.052,27.0,0
0.044,45.0,0
0.042,35.0,0
0.058,72.0,1
0.06,54.0,0
0.063,65.0,1
0.068,28.0,0
0.07,22.0,0
0.065,26.0,0
0.05,28.0,0
0.055,26.0,0
0.05,61.0,0
0.05,12.0,0
0.05,35.0,0
0.049,26.0,0
0.058,60.0,0
0.075,77.0,0
0.052,50.0,0
0.07,70.0,1
0.053,16.0,0
0.054,30.0,0
0.045,21.0,0
0.055,25.0,0
0.072,45.0,1
0.053,22.0,0
0.055,45.0,0
0.055,25.0,0
0.057,29.0,0
0.052,26.0,0
0.072,40.0,0
0.056,18.0,0
0.06,60.0,1
0.048,16.0,0
0.064,62.0,1
0.046,18.0,0
0.05,28.0,0
0.062,70.0,1
0.061,31.0,0
0.057,58.0,1
0.052,29.0,0
0.07,55.0,0
0.056,50.0,0
0.073,83.0,1
0.06,50.0,0
0.05,62.0,1
0.051,17.0,0
0.07,60.0,1
0.06,53.0,0
0.049,22.0,0
0.05,7.0,0
0.056,41.0,0
0.055,45.0,0
0.065,65.0,1
0.048,20.0,0
0.055,12.0,0
0.044,18.0,0
0.05,10.0,0
0.053,20.0,0
0.07,94.0,1
0.065,30.0,0
0.049,28.0,0
0.066,72.0,1
0.052,20.0,0
0.092,115.0,1
