index,age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income
31889,21.0,Self-emp-not-inc,72119.0,Some-college,10.0,Widowed,Machine-op-inspct,Own-child,White,Male,0.0,0.0,45.0,Yugoslavia,1.0
37133,31.0,Without-pay,557853.0,Some-college,13.0,Widowed,Machine-op-inspct,Own-child,White,Male,0.0,0.0,47.0,Yugoslavia,1.0
39681,33.0,Self-emp-not-inc,136331.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
32367,33.0,Self-emp-inc,33727.0,Some-college,14.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
4872,31.0,Self-emp-not-inc,175778.0,Some-college,12.0,Widowed,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
17432,57.0,Self-emp-not-inc,348430.0,Some-college,2.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
34608,39.0,Self-emp-not-inc,347814.0,Some-college,12.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,56.0,Yugoslavia,1.0
17848,61.0,Self-emp-not-inc,208919.0,Some-college,14.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,Yugoslavia,0.0
40017,27.0,Self-emp-not-inc,279608.0,Some-college,3.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
7691,45.0,Self-emp-not-inc,324655.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
27211,50.0,Self-emp-inc,168672.0,Some-college,14.0,Widowed,Transport-moving,Wife,White,Male,0.0,1902.0,40.0,Yugoslavia,0.0
13595,49.0,State-gov,65535.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,Yugoslavia,1.0
38998,46.0,Without-pay,82572.00000000001,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
44529,47.0,Without-pay,258498.0,Some-college,10.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,52.0,Yugoslavia,1.0
42580,56.0,Self-emp-not-inc,76280.99999999999,Some-college,13.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
2174,42.0,Self-emp-not-inc,111589.0,Some-college,11.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
41595,17.0,Self-emp-not-inc,271837.0,Some-college,10.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,16.000000000000004,Yugoslavia,1.0
18353,28.0,Self-emp-not-inc,50814.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
6258,53.0,Self-emp-not-inc,170050.0,Some-college,10.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
10071,27.0,Self-emp-not-inc,54897.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
41656,32.0,Self-emp-not-inc,137367.0,Prof-school,7.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
11794,37.0,Self-emp-not-inc,255454.0,Some-college,4.000000000000001,Widowed,Transport-moving,Not-in-family,White,Male,7298.0,0.0,35.0,Yugoslavia,0.0
9251,35.0,Self-emp-not-inc,233533.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,42.0,Yugoslavia,1.0
12023,37.0,Self-emp-not-inc,353550.0,Some-college,14.0,Widowed,Transport-moving,Not-in-family,White,Male,15024.0,0.0,60.0,Yugoslavia,0.0
26861,46.0,Without-pay,27802.0,Some-college,12.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,38.0,Yugoslavia,0.0
2820,42.0,Self-emp-not-inc,256448.0,Some-college,10.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,15.0,Yugoslavia,1.0
4106,33.0,Without-pay,160261.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
21156,26.0,Self-emp-not-inc,289980.0,Some-college,3.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,30.0,Yugoslavia,0.0
14877,32.0,Self-emp-not-inc,74500.99999999999,Some-college,14.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,50.0,Yugoslavia,1.0
13736,31.0,Self-emp-not-inc,31286.0,Some-college,11.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
13391,30.0,Private,195337.0,Some-college,9.0,Widowed,Machine-op-inspct,Wife,White,Male,1506.0,0.0,45.0,Yugoslavia,1.0
44287,51.0,Without-pay,291755.0,Some-college,4.000000000000001,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,42.0,Yugoslavia,1.0
24326,45.0,Self-emp-inc,102359.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,37.0,Yugoslavia,1.0
1303,59.0,Self-emp-not-inc,193375.0,Some-college,14.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,10.0,Yugoslavia,1.0
4965,28.0,Self-emp-not-inc,55360.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
16737,51.0,Self-emp-not-inc,158948.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,84.0,Yugoslavia,0.0
6638,51.0,Self-emp-not-inc,136080.0,Some-college,9.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,31.0,Yugoslavia,1.0
14361,27.0,Self-emp-not-inc,65663.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
20819,41.0,Self-emp-not-inc,187336.0,Some-college,9.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
19067,29.0,Self-emp-not-inc,200515.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,38.0,Yugoslavia,1.0
25008,28.0,Self-emp-not-inc,126129.0,Some-college,10.0,Widowed,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
2007,26.0,Private,345157.0,Some-college,9.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
8604,19.0,Self-emp-not-inc,78374.0,Some-college,10.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
24509,30.0,Self-emp-not-inc,391114.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,Yugoslavia,1.0
29863,25.0,Self-emp-not-inc,160261.0,Some-college,10.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
39648,38.0,Self-emp-not-inc,195025.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,32.0,Yugoslavia,1.0
28044,42.0,Self-emp-not-inc,184105.0,Some-college,10.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,28.0,Yugoslavia,1.0
31046,48.0,Self-emp-not-inc,377140.0,Some-college,3.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,35.0,Yugoslavia,1.0
41866,58.0,Self-emp-not-inc,94429.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
43715,26.0,Self-emp-not-inc,247025.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,65.0,Yugoslavia,1.0
22054,46.0,Self-emp-not-inc,188161.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
32206,45.0,Self-emp-not-inc,167617.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
2448,22.0,Self-emp-not-inc,193385.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
5872,33.0,Without-pay,226296.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
35819,28.0,Self-emp-not-inc,69107.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
12114,52.0,Self-emp-not-inc,146015.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
3996,47.0,Private,218325.0,Some-college,12.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
1199,17.0,Self-emp-not-inc,129396.0,Prof-school,7.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,26.0,Yugoslavia,0.0
3474,31.0,Self-emp-inc,253456.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
7696,21.0,Self-emp-not-inc,225311.0,Some-college,9.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
9139,17.0,Self-emp-not-inc,99237.0,Prof-school,7.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,30.0,Yugoslavia,1.0
16895,47.0,Self-emp-not-inc,363418.0,Some-college,10.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,70.0,Yugoslavia,0.0
584,55.0,Without-pay,126840.0,Some-college,10.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
34033,40.0,Self-emp-not-inc,442045.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
4809,61.0,Self-emp-not-inc,284710.0,Some-college,15.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,1902.0,45.0,Yugoslavia,0.0
23289,39.0,Self-emp-not-inc,282153.0,Some-college,10.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,20.0,Yugoslavia,1.0
30187,53.0,Self-emp-not-inc,71772.0,Some-college,16.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,50.0,Yugoslavia,1.0
17661,57.0,Without-pay,353808.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,Yugoslavia,0.0
26218,61.0,Self-emp-not-inc,123991.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,20.0,Yugoslavia,1.0
34162,30.0,Without-pay,115932.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,99999.0,0.0,50.0,Yugoslavia,0.0
24656,38.0,Self-emp-not-inc,222450.0,Some-college,10.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
26352,33.0,Self-emp-not-inc,232475.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
15492,52.0,Self-emp-not-inc,35598.0,Some-college,9.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
19792,54.0,Without-pay,278230.0,Some-college,10.0,Married-spouse-absent,Transport-moving,Wife,White,Male,10520.0,0.0,30.0,Yugoslavia,0.0
17415,46.0,Self-emp-not-inc,174209.0,Some-college,9.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,45.0,Yugoslavia,1.0
41457,49.0,Without-pay,181547.0,Some-college,12.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,30.0,Yugoslavia,1.0
37839,56.0,Self-emp-not-inc,34626.0,Some-college,10.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,1980.0,40.0,Yugoslavia,1.0
873,67.0,State-gov,51415.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
40497,28.0,Self-emp-not-inc,461929.0,Some-college,4.000000000000001,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
35315,35.0,Self-emp-not-inc,263081.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,Yugoslavia,0.0
31232,39.0,Self-emp-not-inc,117683.0,Doctorate,6.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,45.0,Yugoslavia,0.0
11264,78.0,Without-pay,184762.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,3471.0,0.0,50.0,Yugoslavia,1.0
13742,33.0,Self-emp-not-inc,157887.0,Some-college,5.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,50.0,Yugoslavia,1.0
31449,46.0,Self-emp-inc,114160.0,Some-college,14.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,1902.0,45.0,Yugoslavia,0.0
6454,54.0,Self-emp-not-inc,320012.0,Some-college,10.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
9645,19.0,Self-emp-not-inc,375079.0,Some-college,10.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,35.0,Yugoslavia,1.0
6209,51.0,Self-emp-not-inc,230095.0,Doctorate,6.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
34501,36.0,Self-emp-not-inc,267556.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,4064.0,0.0,40.0,Yugoslavia,1.0
3214,37.0,Self-emp-not-inc,95551.0,Some-college,10.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,45.0,Yugoslavia,1.0
44677,29.0,Self-emp-not-inc,358124.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,52.0,Yugoslavia,1.0
37840,35.0,Self-emp-not-inc,150042.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
4994,27.0,Self-emp-not-inc,211208.0,Prof-school,7.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
5737,33.0,Self-emp-not-inc,229732.0,Some-college,12.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
34043,79.0,Self-emp-inc,146244.0,Some-college,16.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
24201,59.0,Self-emp-not-inc,271571.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,15024.0,0.0,50.0,Yugoslavia,0.0
44089,40.0,Self-emp-not-inc,87771.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,1628.0,45.0,Yugoslavia,1.0
40004,23.0,Self-emp-not-inc,160951.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,2597.0,0.0,40.0,Yugoslavia,1.0
21363,25.0,Self-emp-not-inc,254746.0,Some-college,13.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
33114,59.0,Self-emp-not-inc,146391.0,Some-college,16.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,50.0,Yugoslavia,0.0
28653,26.0,Without-pay,200681.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
44561,29.0,Self-emp-inc,152461.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,42.0,Yugoslavia,1.0
23205,32.0,Without-pay,203849.0,Some-college,4.000000000000001,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,19.0,Yugoslavia,1.0
33257,57.0,Self-emp-not-inc,197642.0,Some-college,10.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
10430,54.0,Self-emp-not-inc,200450.0,Some-college,10.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,35.0,Yugoslavia,0.0
1875,30.0,Self-emp-not-inc,45427.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,70.0,Yugoslavia,1.0
14417,50.0,Private,107079.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
8654,57.0,Self-emp-not-inc,132145.0,Some-college,3.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
44469,31.0,Private,34862.0,Some-college,12.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
7645,38.0,Self-emp-not-inc,365307.0,Some-college,9.0,Widowed,Machine-op-inspct,Own-child,White,Male,0.0,0.0,32.0,Yugoslavia,1.0
32883,25.0,Self-emp-not-inc,521400.0,Some-college,3.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
38764,44.0,Self-emp-not-inc,128676.0,Some-college,10.0,Widowed,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
651,50.0,Without-pay,137815.0,Some-college,13.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
26588,48.0,Self-emp-not-inc,172709.0,Some-college,9.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
35494,22.0,Self-emp-not-inc,333158.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,48.0,Yugoslavia,1.0
7741,40.0,Self-emp-not-inc,51233.0,Some-college,13.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,38.0,Yugoslavia,1.0
27710,30.0,Self-emp-not-inc,143392.0,Some-college,13.0,Widowed,Machine-op-inspct,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
38349,29.0,Self-emp-not-inc,95423.0,Some-college,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,80.0,Yugoslavia,1.0
34596,48.0,Self-emp-not-inc,99127.0,Some-college,12.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,45.0,Yugoslavia,1.0
29651,38.0,Self-emp-not-inc,103323.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
32630,50.0,Without-pay,133014.0,Some-college,11.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
41626,51.0,Self-emp-not-inc,210940.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,2002.0,45.0,Yugoslavia,1.0
44206,55.0,Self-emp-inc,143949.0,Some-college,14.0,Widowed,Transport-moving,Wife,White,Male,3103.0,0.0,45.0,Yugoslavia,0.0
37474,26.0,Self-emp-not-inc,104045.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
14481,28.0,Self-emp-not-inc,371408.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,47.0,Yugoslavia,1.0
7001,59.0,Without-pay,381965.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,1740.0,80.0,Yugoslavia,1.0
13590,46.0,Self-emp-not-inc,186539.0,Some-college,9.0,Married-spouse-absent,Transport-moving,Wife,White,Male,0.0,0.0,48.0,Yugoslavia,0.0
29821,33.0,Without-pay,34102.0,Some-college,9.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,35.0,Yugoslavia,1.0
17056,33.0,Self-emp-not-inc,125249.0,Some-college,9.0,Widowed,Transport-moving,Wife,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
25261,43.0,Self-emp-not-inc,135606.0,Some-college,14.0,Married-spouse-absent,Transport-moving,Own-child,White,Male,0.0,0.0,50.0,Yugoslavia,0.0
22938,49.0,Self-emp-not-inc,104455.0,Some-college,13.0,Widowed,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,Yugoslavia,1.0
30041,36.0,Self-emp-not-inc,202662.0,Some-college,14.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0.0
258,32.0,Self-emp-not-inc,174201.0,Some-college,9.0,Widowed,Transport-moving,Not-in-family,White,Male,0.0,0.0,38.0,Yugoslavia,0.0
